"","Date","Country.Region","CRPS","Province.State","Lat","Long","confirmed","deaths","recovered"
"57",2020-01-22,"US","Wisconsin.US","Wisconsin",43.1952747517568,-87.3710075490541,0,0,NA
"58",2020-01-22,"US","Wyoming.US","Wyoming",39.6399346648,-98.580982828,0,0,NA
"59",2020-01-23,"US","Alabama.US","Alabama",31.9311128071014,-84.1967854963768,0,0,NA
"60",2020-01-23,"US","Alaska.US","Alaska",56.3735444048387,-136.429655945161,0,0,NA
"61",2020-01-23,"US","American Samoa.US","American Samoa",-14.271,-170.132,0,0,NA
"62",2020-01-23,"US","Arizona.US","Arizona",29.7140326252941,-98.3499107,0,0,NA
"63",2020-01-23,"US","Arkansas.US","Arkansas",34.0050870684416,-90.033095715974,0,0,NA
"64",2020-01-23,"US","California.US","California",36.5824962578333,-116.704307691667,0,0,NA
"65",2020-01-23,"US","Colorado.US","Colorado",37.755611605,-102.289687233333,0,0,NA
"66",2020-01-23,"US","Connecticut.US","Connecticut",33.290944112,-58.125463743,0,0,NA
"67",2020-01-23,"US","Delaware.US","Delaware",23.465566094,-45.319942474,0,0,NA
"68",2020-01-23,"US","Diamond Princess.US","Diamond Princess",0,0,0,0,NA
"69",2020-01-23,"US","District of Columbia.US","District of Columbia",12.9680592433333,-25.67218664,0,0,NA
"70",2020-01-23,"US","Florida.US","Florida",28.1018924188406,-80.3036208973913,0,0,NA
"71",2020-01-23,"US","Georgia.US","Georgia",32.4009727393168,-82.5392009829193,0,0,NA
"72",2020-01-23,"US","Grand Princess.US","Grand Princess",0,0,0,0,NA
"73",2020-01-23,"US","Guam.US","Guam",13.4443,144.7937,0,0,NA
"74",2020-01-23,"US","Hawaii.US","Hawaii",15.0202021471429,-112.373740342857,0,0,NA
"75",2020-01-23,"US","Idaho.US","Idaho",42.3389055515217,-109.483597747826,0,0,NA
"76",2020-01-23,"US","Illinois.US","Illinois",39.0773942839423,-87.4633621836538,0,0,NA
"77",2020-01-23,"US","Indiana.US","Indiana",38.9897499068085,-84.3841308225532,0,0,NA
"78",2020-01-23,"US","Iowa.US","Iowa",41.1976345775248,-91.6147170586139,0,0,NA
"79",2020-01-23,"US","Kansas.US","Kansas",37.7660260202804,-96.2511954286916,0,0,NA
"80",2020-01-23,"US","Kentucky.US","Kentucky",37.0053873934426,-83.8031710996721,0,0,NA
"81",2020-01-23,"US","Louisiana.US","Louisiana",30.1502326142424,-89.041635545303,0,0,NA
"82",2020-01-23,"US","Maine.US","Maine",39.7223896944444,-61.7989054472222,0,0,NA
"83",2020-01-23,"US","Maryland.US","Maryland",36.013772945,-70.7773547157692,0,0,NA
"84",2020-01-23,"US","Massachusetts.US","Massachusetts",37.1173028770588,-63.0162959652941,0,0,NA
"85",2020-01-23,"US","Michigan.US","Michigan",43.0072996170588,-83.1774203463529,0,0,NA
"86",2020-01-23,"US","Minnesota.US","Minnesota",44.528372238427,-92.3089091386517,0,0,NA
"87",2020-01-23,"US","Mississippi.US","Mississippi",32.011947362619,-87.511303757619,0,0,NA
