"","Country.Region","CRPS","Province.State","Date","Lat","Long","confirmed","recovered","deaths"
"1","Afghanistan","Afghanistan","",2020-01-22,33,65,0,0,0
"2","Afghanistan","Afghanistan","",2020-01-23,33,65,0,0,0
"3","Afghanistan","Afghanistan","",2020-01-24,33,65,0,0,0
"4","Afghanistan","Afghanistan","",2020-01-25,33,65,0,0,0
"5","Afghanistan","Afghanistan","",2020-01-26,33,65,0,0,0
"6","Afghanistan","Afghanistan","",2020-01-27,33,65,0,0,0
"7","Afghanistan","Afghanistan","",2020-01-28,33,65,0,0,0
"8","Afghanistan","Afghanistan","",2020-01-29,33,65,0,0,0
"9","Afghanistan","Afghanistan","",2020-01-30,33,65,0,0,0
"10","Afghanistan","Afghanistan","",2020-01-31,33,65,0,0,0
"11","Afghanistan","Afghanistan","",2020-02-01,33,65,0,0,0
"12","Afghanistan","Afghanistan","",2020-02-02,33,65,0,0,0
"13","Afghanistan","Afghanistan","",2020-02-03,33,65,0,0,0
"14","Afghanistan","Afghanistan","",2020-02-04,33,65,0,0,0
"15","Afghanistan","Afghanistan","",2020-02-05,33,65,0,0,0
"16","Afghanistan","Afghanistan","",2020-02-06,33,65,0,0,0
"17","Afghanistan","Afghanistan","",2020-02-07,33,65,0,0,0
"18","Afghanistan","Afghanistan","",2020-02-08,33,65,0,0,0
"19","Afghanistan","Afghanistan","",2020-02-09,33,65,0,0,0
"20","Afghanistan","Afghanistan","",2020-02-10,33,65,0,0,0
"21","Afghanistan","Afghanistan","",2020-02-11,33,65,0,0,0
"22","Afghanistan","Afghanistan","",2020-02-12,33,65,0,0,0
"23","Afghanistan","Afghanistan","",2020-02-13,33,65,0,0,0
"24","Afghanistan","Afghanistan","",2020-02-14,33,65,0,0,0
"25","Afghanistan","Afghanistan","",2020-02-15,33,65,0,0,0
"26","Afghanistan","Afghanistan","",2020-02-16,33,65,0,0,0
"27","Afghanistan","Afghanistan","",2020-02-17,33,65,0,0,0
"28","Afghanistan","Afghanistan","",2020-02-18,33,65,0,0,0
"29","Afghanistan","Afghanistan","",2020-02-19,33,65,0,0,0
"30","Afghanistan","Afghanistan","",2020-02-20,33,65,0,0,0
"31","Afghanistan","Afghanistan","",2020-02-21,33,65,0,0,0
"32","Afghanistan","Afghanistan","",2020-02-22,33,65,0,0,0
"33","Afghanistan","Afghanistan","",2020-02-23,33,65,0,0,0
"34","Afghanistan","Afghanistan","",2020-02-24,33,65,1,0,0
"35","Afghanistan","Afghanistan","",2020-02-25,33,65,1,0,0
"36","Afghanistan","Afghanistan","",2020-02-26,33,65,1,0,0
"37","Afghanistan","Afghanistan","",2020-02-27,33,65,1,0,0
"38","Afghanistan","Afghanistan","",2020-02-28,33,65,1,0,0
"39","Afghanistan","Afghanistan","",2020-02-29,33,65,1,0,0
"40","Afghanistan","Afghanistan","",2020-03-01,33,65,1,0,0
"41","Afghanistan","Afghanistan","",2020-03-02,33,65,1,0,0
"42","Afghanistan","Afghanistan","",2020-03-03,33,65,1,0,0
"43","Afghanistan","Afghanistan","",2020-03-04,33,65,1,0,0
"44","Afghanistan","Afghanistan","",2020-03-05,33,65,1,0,0
